ID	kmer_coverage	bioproject	biosample	bioproject_title	bioproject_description	refs	sample_acc	assay_type	center_name	experiment	sample_name	organism	longitude	latitude	selected_location	locations	disease_source	disease_text	do_label	do_id	tissue	tissue_source	tissue_text	bto_id	contigs_n50	contigs_nbseq	contigs_maxlen	contigs_sumlen	unitigs_n50	unitigs_nbseq	unitigs_maxlen	unitigs_sumlen	instrument	librarylayout	libraryselection	librarysource	library_name	platform	sra_study	releasedate	mbytes	avgspotlen	mbases	biosamplemodel_sam	collection_date_sam	location_count	location_avg_coverage	location_max_coverage	location_min_coverage	location_med_coverage
SRR3581665	1.0	PRJNA322666	SAMN05172265	CSF viral metagenomics	Sequence reads from CSF specimens collected from patients with encephalitis without identified infectious etiology at Children’s Hospital Colorado in Aurora, CO, USA.		SRS1465188	WGS	BSRI	SRX1797263	CSFPool	human metagenome	-105.78	39.55	lat_lon	"{""geo_loc_name_sam"": [-104.99203, 39.74001], ""geo_loc_name_country_calc"": [-77.03196, 38.89036], ""geo_loc_name"": [""-104.99203"", ""39.74001""]}"									246.0	135560.0	3815.0	21163447.0	61	1088102	814	63762851	Illumina MiSeq	PAIRED	RANDOM	METAGENOMIC	CSFPool	ILLUMINA	SRP075630	2016-05-30	244	247	405	['Metagenome or environmental']		2	0.9	1.0	0.79	0.9
SRR24010804	0.938	PRJNA950127	SAMN33976210	Deep Sequencing Air Samples University of Wisconsin-Madison	Deep sequencing environmental air samples.	PMC:10312882,10696062	SRS17174168	WGS	UNIVERSITY OF WISCONSIN-MADISON	SRX19813618	ENV/USA/WI-MSN-AE00001004492C/2021	air metagenome	-89.4008	43.0722	lat_lon	"{""geo_loc_name"": [-89.38645, 43.07313], ""geo_loc_name_sam"": [-89.38645, 43.07313], ""geo_loc_name_country_calc"": [""-77.03196"", ""38.89036""]}"									32.0	6197886.0	863.0	215262509.0	32	28745182	571	988082562	PromethION	SINGLE	cDNA	METAGENOMIC	AE00001004492C	OXFORD_NANOPORE	SRP430053	2023-03-29	2655	719	3280	['Metagenome or environmental']	['2021-12-23']	8	0.69	0.94	0.53	0.68
ERR2699812	0.938	PRJEB27640	SAMEA4790996	Comparative metagenomics of controlled and uncontrolled built environments.	Antimicrobial resistance is an increasingly serious threat to global public health, but less is known how microbial control in health care or cleanroom facilities modifies the in-house microbiota and its associated resistome. To understand these human interventions, we compared the microbiota present in abiotic surfaces of clinical settings and other built environments. State-of-the-art metagenomic assembly and binning strategies as well as genome and plasmid reconstructions allowed us to determine that increased confinement and cleaning was associated with a loss of microbial diversity and a shift from Gram-positive (Actinobacteria, Firmicutes) to Gram-negative (Proteobacteria) bacteria as well as within genomes (Acinetobacter). Moreover, the microbiome of highly maintained built environments showed a completely different resistome and present a higher diversity of resistance genes than naturally unrestricted buildings. Our results highlight that the loss of microbial diversity correlates with an increase of resistances and indicate the need of implementing strategies to restore diversity to counteract propagation of resistances in the future.		ERS2610926	WGS	MEDICAL UNIVERISTY OF GRAZ	ERX2714199	SAMEA4790996	indoor metagenome	7.60833	45.07968	geographic location (latitude),geographic location (longitude)	"{""geo_loc_name"":[12.49563,41.90325],""geo_loc_name_country_calc"":[12.49563,41.90325],""INSDC center name"":[-76.62394,39.28884]}"									235.0	8423605.0	59455.0	1194501923.0	84	63489751	3276	4159963133	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	indoor shotgun metagenome	ILLUMINA	ERP109748	2019-02-08	8116	300	18563		['2014-05-27']	1	0.94	0.94	0.94	0.94
SRR584137	0.937	PRJNA176941	SAMN01760507	Polypyrimidine tract-binding protein homologues from Arabidopsis are key regulators of alternative splicing with implications in fundamental developmental processes	"Alternative splicing (AS) generates transcript variants by the definition of different exonic and intronic regions and causes a massive expansion of transcriptome diversity. Changes in AS patterns have been found to be linked to manifold biological processes, yet fundamental aspects such as the regulation of AS and the functional implications of altered AS programs largely remain to be addressed. In this work, widespread AS regulation by Arabidopsis Polypyrimidine tract-binding protein homologues (AtPTBs) was revealed. In total 452 AS events derived from 308 distinct genes were found to be responsive to the levels of the splicing factors AtPTB1 and AtPTB2, which predominantly triggered splicing of regulated introns, inclusion of cassette exons, and usage of upstream 5' splice sites. In contrast, alternative 3' splice site events were strongly underrepresented among the AtPTB1/2 targets and no major AS regulatory function of the distantly related AtPTB3 was found. Dependent on their position within the mRNA, AtPTB-regulated events can both modify the untranslated regions and give rise to alternative protein products. Gene ontology analysis revealed a connection of AtPTB-mediated AS control with diverse biological processes, and the functional implications of selected AS events were further elucidated in the context of seed germination and flowering time control. Specifically, AtPTB misexpression changes AS of the PHYTOCHROME INTERACTING FACTOR 6 (PIF6) pre-mRNA, coinciding with altered rates of abscisic acid-dependent seed germination. Furthermore, AS patterns as well as the expression of key flowering regulators were massively changed in an AtPTB1/2 level-dependent manner. In conclusion, our work has revealed widespread AS regulatory functions of the AtPTB splicing factors with important functional implications in various fundamental processes of Arabidopsis development.Overall design: Analysis of alternative splicing patterns in plants with increased and decreased levels of the 3 Arabidopsis Polypyrimidine-tract binding protein homologues in comparison to wild type samples, determined in duplicates"	PubMed:23192226	SRS367559	RNA-Seq	GEO	SRX193202	GSM1017178	Arabidopsis thaliana													325.0	401269.0	11199.0	44519118.0	36	7089655	2664	287489926	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC		ILLUMINA	SRP016026	2012-10-23	3282	101	5331			0				
SRR1754483	0.873	PRJNA272507	SAMN03282914	Genome Wide Characterization of Genome Organization in Mouse ES cells	"The three-dimensional folding of genomes in the eukaryotic nucleus can influence the expression of genes. We used a new method to determine interactions between different chromatin regions genome-wide. Using a simple statistical model, we determine the subset of those interactions which represent stable contacts. We find an enrichment in contacts between active genes, between Polycomb-repressed genes, between enhancer elements and between enhancers and active genes.Overall design: We used a new method to detect interactions from 490 46C Mouse ES cell derived samples"	PubMed:28273065	SRS816600	OTHER	GEO	SRX839853	GSM1582209	Mus musculus													259.0	17128.0	1402.0	3106649.0	61	247223	966	14264175	Illumina HiSeq 2000	SINGLE	other	GENOMIC		ILLUMINA	SRP052060	2017-03-09	88	69	119			0				
SRR24010788	0.81	PRJNA950127	SAMN33976233	Deep Sequencing Air Samples University of Wisconsin-Madison	Deep sequencing environmental air samples.	PMC:10312882,10696062	SRS17174184	WGS	UNIVERSITY OF WISCONSIN-MADISON	SRX19813634	ENV/USA/WI-MSN-AE0000106DC33E/2022	air metagenome	-89.4008	43.0722	lat_lon	"{""geo_loc_name"": [-89.38645, 43.07313], ""geo_loc_name_country_calc"": [-77.03196, 38.89036], ""geo_loc_name_sam"": [""-89.38645"", ""43.07313""]}"									32.0	4486920.0	1328.0	160612602.0	32	40527946	845	1405674761	PromethION	SINGLE	cDNA	METAGENOMIC	AE0000106DC33E	OXFORD_NANOPORE	SRP430053	2023-03-29	3666	690	4606	['Metagenome or environmental']	['2022-12-01']	8	0.69	0.94	0.53	0.68
SRR11556555	0.794	PRJNA625732	SAMN14606515	In-situ cell-type specific chromatin topologies in the brain revealed by genome architecture mapping	"We report the application of genome architecture mapping in specific cell types in mouse brain. We generated cell-type specific chromatin contact maps in mouse dopaminergic neurons from the midbrain ventral tegmental area (VTA DN), pyramidal glutamatergic neurons from the cornus ammonis 1 region of the hippocampus (CA1 PGN), and non-neuronal post-mitotic oligodendrocytes from the somatosensory cortex (SSC_Olig). We explored cell-type specific chromatin topologies genome-wide at multiple genomic scales. Our data demonstrates that chromatin organization is cell type specific and reflects cell specialization at all genomic scales.Overall design: Briefly, we isolated single thin tissue sections by ultrathin cryosectioning (approx. 220 nm) of the mouse brain region of interest, and selected specific cell-types using immunofluorescence with specific AB markers. Following cell identification, 3 nuclear sections (nuclear profiles; NPs) were captured by laser microdissection in individual PCR caps. We then extracted, amplified and sequenced the DNA from each PCR cap."	PubMed:34789882	SRS6489929	OTHER	GEO	SRX8125594	GSM4479488	Mus musculus									hippocampus	tissue	cornus ammonis 1 region of the hippocampus	BTO_0000601	346.0	28697.0	2307.0	6714972.0	61	358225	820	21777700	NextSeq 500	SINGLE	other	GENOMIC		ILLUMINA	SRP256628	2021-08-28	87	70	218			0				
SRR3581666	0.792	PRJNA322666	SAMN05172266	CSF viral metagenomics	Sequence reads from CSF specimens collected from patients with encephalitis without identified infectious etiology at Children’s Hospital Colorado in Aurora, CO, USA.		SRS1465189	WGS	BSRI	SRX1797264	CSF21	human metagenome	-105.78	39.55	lat_lon	"{""geo_loc_name_country_calc"": [-77.03196, 38.89036], ""geo_loc_name_sam"": [-104.99203, 39.74001], ""geo_loc_name"": [""-104.99203"", ""39.74001""]}"									88.0	91055.0	3994.0	5774724.0	36	1022043	609	41660130	Illumina MiSeq	PAIRED	RANDOM	METAGENOMIC	CSF21	ILLUMINA	SRP075630	2016-05-30	136	421	228	['Metagenome or environmental']		2	0.9	1.0	0.79	0.9
SRR24010792	0.751	PRJNA950127	SAMN33976229	Deep Sequencing Air Samples University of Wisconsin-Madison	Deep sequencing environmental air samples.	PMC:10312882,10696062	SRS17174180	WGS	UNIVERSITY OF WISCONSIN-MADISON	SRX19813630	ENV/USA/WI-MSN-AE0000100A9532/2022	air metagenome	-89.4008	43.0722	lat_lon	"{""geo_loc_name_sam"": [-89.38645, 43.07313], ""geo_loc_name"": [-89.38645, 43.07313], ""geo_loc_name_country_calc"": [""-77.03196"", ""38.89036""]}"									32.0	3330323.0	1283.0	119768931.0	32	40599512	702	1402289971	PromethION	SINGLE	cDNA	METAGENOMIC	AE0000100A9532	OXFORD_NANOPORE	SRP430053	2023-03-29	5114	822	6790	['Metagenome or environmental']	['2022-03-01']	8	0.69	0.94	0.53	0.68
ERR5162996	0.712	PRJEB28690	SAMEA6428851	EpigeneticClock	We have recently established a method to asses age in mice using DNA methylation in samples from any tissue (“epigenetic age”’ Stubbs et al 2017 Genome Biology). We are now planning to expand this work and test more tissues and cell types. We will be processing samples from various organs, ages and animal models to assess the transcriptomic and DNA methylation profiles to identify epigenetic signatures and correlate epigenetic age with biological function.		ERS4195055	Bisulfite-Seq	WELLCOME SANGER INSTITUTE	ERX4967959	SAMEA6428851	Mus musculus	-81.04537	33.99882	INSDC center name														32	93733042	598	3214536133	Illumina HiSeq 4000	PAIRED	PCR	GENOMIC	NT1583036N	ILLUMINA	ERP110933	2021-01-31	4499	300	9640			1	0.71	0.71	0.71	0.71
