ID	kmer_coverage	bioproject	biosample	bioproject_title	bioproject_description	refs	sample_acc	assay_type	center_name	experiment	sample_name	organism	longitude	latitude	selected_location	locations	disease_source	disease_text	do_label	do_id	tissue	tissue_source	tissue_text	bto_id	contigs_n50	contigs_nbseq	contigs_maxlen	contigs_sumlen	unitigs_n50	unitigs_nbseq	unitigs_maxlen	unitigs_sumlen	instrument	librarylayout	libraryselection	librarysource	library_name	platform	sra_study	releasedate	mbytes	avgspotlen	mbases	biosamplemodel_sam	collection_date_sam	location_count	location_avg_coverage	location_max_coverage	location_min_coverage	location_med_coverage
SRR891586	1.0	PRJNA167405	SAMN01932302	Parasteatoda tepidariorum Genome sequencing and assembly	Whole genome assembly of Parasteatoda tepidariorum (common house spider) as part of the BCM-HGSC i5k Pilot Project.	PMC:5535294,6307133,10848406	SRS436324	WGS	BCM	SRX295535	PTEP.GO-female	Parasteatoda tepidariorum	13.37691	52.51604	geo_loc_name										396.0	8214787.0	20497.0	1222429566.0	61	50249176	13927	2994513290	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	IWG_PTI5NS.Pt-female-2_1pA	ILLUMINA	SRP024253	2013-06-10	21767	202	34947		['2012-02-01']	9	0.99	1.0	0.99	0.99
SRR891580	1.0	PRJNA167405	SAMN01932302	Parasteatoda tepidariorum Genome sequencing and assembly	Whole genome assembly of Parasteatoda tepidariorum (common house spider) as part of the BCM-HGSC i5k Pilot Project.	PMC:5535294,6307133,10848406	SRS436324	WGS	BCM	SRX295533	PTEP.GO-female	Parasteatoda tepidariorum	13.37691	52.51604	geo_loc_name										83.0	20817039.0	1652.0	1332032575.0	44	139676195	458	6152546507	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	IWG_PTI5NS.Pt-female-2-1_3mA	ILLUMINA	SRP024253	2013-06-10	21390	202	29626		['2012-02-01']	9	0.99	1.0	0.99	0.99
SRR891578	1.0	PRJNA167405	SAMN01932302	Parasteatoda tepidariorum Genome sequencing and assembly	Whole genome assembly of Parasteatoda tepidariorum (common house spider) as part of the BCM-HGSC i5k Pilot Project.	PMC:5535294,6307133,10848406	SRS436324	WGS	BCM	SRX295532	PTEP.GO-female	Parasteatoda tepidariorum	13.37691	52.51604	geo_loc_name										86.0	21713121.0	1974.0	1406092026.0	44	136116559	718	6013965826	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	IWG_PTI5NS.Pt-female-2-1_4mA	ILLUMINA	SRP024253	2013-06-10	19852	202	29137		['2012-02-01']	9	0.99	1.0	0.99	0.99
SRR11942616	1.0	PRJNA634441	SAMN15150974	Monomorium pharaonis Genome sequencing and assembly	The chromosome-level genome assembly of Monomorium pharaonis	PMC:7736795	SRS6786679	Hi-C	BGI	SRX8487089	Mono-Fresh	Monomorium pharaonis									whole body	tissue	whole body	BTO_0001489	53.0	11099326.0	3170.0	627726863.0	36	165794327	668	6293904411	BGISEQ-500	PAIRED	RANDOM	GENOMIC	CL100127726	BGISEQ	SRP266269	2020-06-08	78633	100	133268	['Model organism or animal']		0				
SRR891585	0.99	PRJNA167405	SAMN01932302	Parasteatoda tepidariorum Genome sequencing and assembly	Whole genome assembly of Parasteatoda tepidariorum (common house spider) as part of the BCM-HGSC i5k Pilot Project.	PMC:5535294,6307133,10848406	SRS436324	WGS	BCM	SRX295535	PTEP.GO-female	Parasteatoda tepidariorum	13.37691	52.51604	geo_loc_name										261.0	5438415.0	6537.0	746385761.0	65	32734662	4435	2047310576	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	IWG_PTI5NS.Pt-female-2_1pA	ILLUMINA	SRP024253	2013-06-10	6101	202	10747		['2012-02-01']	9	0.99	1.0	0.99	0.99
SRR891583	0.99	PRJNA167405	SAMN01932302	Parasteatoda tepidariorum Genome sequencing and assembly	Whole genome assembly of Parasteatoda tepidariorum (common house spider) as part of the BCM-HGSC i5k Pilot Project.	PMC:5535294,6307133,10848406	SRS436324	WGS	BCM	SRX295534	PTEP.GO-female	Parasteatoda tepidariorum	13.37691	52.51604	geo_loc_name										359.0	8995070.0	16084.0	1270660522.0	61	54877991	6826	3157827074	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	IWG_PTI5NS.Pt-female-2_2pA	ILLUMINA	SRP024253	2013-06-10	23684	202	35940		['2012-02-01']	9	0.99	1.0	0.99	0.99
SRR891579	0.99	PRJNA167405	SAMN01932302	Parasteatoda tepidariorum Genome sequencing and assembly	Whole genome assembly of Parasteatoda tepidariorum (common house spider) as part of the BCM-HGSC i5k Pilot Project.	PMC:5535294,6307133,10848406	SRS436324	WGS	BCM	SRX295532	PTEP.GO-female	Parasteatoda tepidariorum	13.37691	52.51604	geo_loc_name										121.0	17699690.0	3217.0	1461675626.0	46	176312027	560	7814765471	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	IWG_PTI5NS.Pt-female-2-1_4mA	ILLUMINA	SRP024253	2013-06-10	30921	202	44901		['2012-02-01']	9	0.99	1.0	0.99	0.99
SRR891581	0.99	PRJNA167405	SAMN01932302	Parasteatoda tepidariorum Genome sequencing and assembly	Whole genome assembly of Parasteatoda tepidariorum (common house spider) as part of the BCM-HGSC i5k Pilot Project.	PMC:5535294,6307133,10848406	SRS436324	WGS	BCM	SRX295534	PTEP.GO-female	Parasteatoda tepidariorum	13.37691	52.51604	geo_loc_name										217.0	3499798.0	6394.0	508546784.0	62	32080055	3191	1911800581	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	IWG_PTI5NS.Pt-female-2_2pA	ILLUMINA	SRP024253	2013-06-10	6049	202	8812		['2012-02-01']	9	0.99	1.0	0.99	0.99
SRR891582	0.99	PRJNA167405	SAMN01932302	Parasteatoda tepidariorum Genome sequencing and assembly	Whole genome assembly of Parasteatoda tepidariorum (common house spider) as part of the BCM-HGSC i5k Pilot Project.	PMC:5535294,6307133,10848406	SRS436324	WGS	BCM	SRX295534	PTEP.GO-female	Parasteatoda tepidariorum	13.37691	52.51604	geo_loc_name										198.0	4081979.0	6213.0	496656483.0	65	29126464	3798	1773107464	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	IWG_PTI5NS.Pt-female-2_2pA	ILLUMINA	SRP024253	2013-06-10	4737	202	7813		['2012-02-01']	9	0.99	1.0	0.99	0.99
SRR891584	0.99	PRJNA167405	SAMN01932302	Parasteatoda tepidariorum Genome sequencing and assembly	Whole genome assembly of Parasteatoda tepidariorum (common house spider) as part of the BCM-HGSC i5k Pilot Project.	PMC:5535294,6307133,10848406	SRS436324	WGS	BCM	SRX295535	PTEP.GO-female	Parasteatoda tepidariorum	13.37691	52.51604	geo_loc_name										289.0	6472802.0	4746.0	884111123.0	62	37110604	4729	2293856672	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	IWG_PTI5NS.Pt-female-2_1pA	ILLUMINA	SRP024253	2013-06-10	8929	202	13211		['2012-02-01']	9	0.99	1.0	0.99	0.99
