ID	kmer_coverage	bioproject	biosample	bioproject_title	bioproject_description	refs	sample_acc	assay_type	center_name	experiment	sample_name	organism	longitude	latitude	selected_location	locations	disease_source	disease_text	do_label	do_id	tissue	tissue_source	tissue_text	bto_id	contigs_n50	contigs_nbseq	contigs_maxlen	contigs_sumlen	unitigs_n50	unitigs_nbseq	unitigs_maxlen	unitigs_sumlen	instrument	librarylayout	libraryselection	librarysource	library_name	platform	sra_study	releasedate	mbytes	avgspotlen	mbases	biosamplemodel_sam	collection_date_sam	location_count	location_avg_coverage	location_max_coverage	location_min_coverage	location_med_coverage
SRR3581665	1.0	PRJNA322666	SAMN05172265	CSF viral metagenomics	Sequence reads from CSF specimens collected from patients with encephalitis without identified infectious etiology at Children’s Hospital Colorado in Aurora, CO, USA.		SRS1465188	WGS	BSRI	SRX1797263	CSFPool	human metagenome	-105.78	39.55	lat_lon	"{""geo_loc_name_sam"": [-104.99203, 39.74001], ""geo_loc_name_country_calc"": [-77.03196, 38.89036], ""geo_loc_name"": [""-104.99203"", ""39.74001""]}"									246.0	135560.0	3815.0	21163447.0	61	1088102	814	63762851	Illumina MiSeq	PAIRED	RANDOM	METAGENOMIC	CSFPool	ILLUMINA	SRP075630	2016-05-30	244	247	405	['Metagenome or environmental']		2	0.99	1.0	0.99	0.99
SRR3581666	0.988	PRJNA322666	SAMN05172266	CSF viral metagenomics	Sequence reads from CSF specimens collected from patients with encephalitis without identified infectious etiology at Children’s Hospital Colorado in Aurora, CO, USA.		SRS1465189	WGS	BSRI	SRX1797264	CSF21	human metagenome	-105.78	39.55	lat_lon	"{""geo_loc_name_country_calc"": [-77.03196, 38.89036], ""geo_loc_name_sam"": [-104.99203, 39.74001], ""geo_loc_name"": [""-104.99203"", ""39.74001""]}"									88.0	91055.0	3994.0	5774724.0	36	1022043	609	41660130	Illumina MiSeq	PAIRED	RANDOM	METAGENOMIC	CSF21	ILLUMINA	SRP075630	2016-05-30	136	421	228	['Metagenome or environmental']		2	0.99	1.0	0.99	0.99
SRR11556555	0.956	PRJNA625732	SAMN14606515	In-situ cell-type specific chromatin topologies in the brain revealed by genome architecture mapping	"We report the application of genome architecture mapping in specific cell types in mouse brain. We generated cell-type specific chromatin contact maps in mouse dopaminergic neurons from the midbrain ventral tegmental area (VTA DN), pyramidal glutamatergic neurons from the cornus ammonis 1 region of the hippocampus (CA1 PGN), and non-neuronal post-mitotic oligodendrocytes from the somatosensory cortex (SSC_Olig). We explored cell-type specific chromatin topologies genome-wide at multiple genomic scales. Our data demonstrates that chromatin organization is cell type specific and reflects cell specialization at all genomic scales.Overall design: Briefly, we isolated single thin tissue sections by ultrathin cryosectioning (approx. 220 nm) of the mouse brain region of interest, and selected specific cell-types using immunofluorescence with specific AB markers. Following cell identification, 3 nuclear sections (nuclear profiles; NPs) were captured by laser microdissection in individual PCR caps. We then extracted, amplified and sequenced the DNA from each PCR cap."	PubMed:34789882	SRS6489929	OTHER	GEO	SRX8125594	GSM4479488	Mus musculus									hippocampus	tissue	cornus ammonis 1 region of the hippocampus	BTO_0000601	346.0	28697.0	2307.0	6714972.0	61	358225	820	21777700	NextSeq 500	SINGLE	other	GENOMIC		ILLUMINA	SRP256628	2021-08-28	87	70	218			0				
SRR24010792	0.954	PRJNA950127	SAMN33976229	Deep Sequencing Air Samples University of Wisconsin-Madison	Deep sequencing environmental air samples.	PMC:10312882,10696062	SRS17174180	WGS	UNIVERSITY OF WISCONSIN-MADISON	SRX19813630	ENV/USA/WI-MSN-AE0000100A9532/2022	air metagenome	-89.4008	43.0722	lat_lon	"{""geo_loc_name_sam"": [-89.38645, 43.07313], ""geo_loc_name"": [-89.38645, 43.07313], ""geo_loc_name_country_calc"": [""-77.03196"", ""38.89036""]}"									32.0	3330323.0	1283.0	119768931.0	32	40599512	702	1402289971	PromethION	SINGLE	cDNA	METAGENOMIC	AE0000100A9532	OXFORD_NANOPORE	SRP430053	2023-03-29	5114	822	6790	['Metagenome or environmental']	['2022-03-01']	15	0.8	0.95	0.55	0.84
SRR24010788	0.938	PRJNA950127	SAMN33976233	Deep Sequencing Air Samples University of Wisconsin-Madison	Deep sequencing environmental air samples.	PMC:10312882,10696062	SRS17174184	WGS	UNIVERSITY OF WISCONSIN-MADISON	SRX19813634	ENV/USA/WI-MSN-AE0000106DC33E/2022	air metagenome	-89.4008	43.0722	lat_lon	"{""geo_loc_name"": [-89.38645, 43.07313], ""geo_loc_name_country_calc"": [-77.03196, 38.89036], ""geo_loc_name_sam"": [""-89.38645"", ""43.07313""]}"									32.0	4486920.0	1328.0	160612602.0	32	40527946	845	1405674761	PromethION	SINGLE	cDNA	METAGENOMIC	AE0000106DC33E	OXFORD_NANOPORE	SRP430053	2023-03-29	3666	690	4606	['Metagenome or environmental']	['2022-12-01']	15	0.8	0.95	0.55	0.84
SRR1754483	0.938	PRJNA272507	SAMN03282914	Genome Wide Characterization of Genome Organization in Mouse ES cells	"The three-dimensional folding of genomes in the eukaryotic nucleus can influence the expression of genes. We used a new method to determine interactions between different chromatin regions genome-wide. Using a simple statistical model, we determine the subset of those interactions which represent stable contacts. We find an enrichment in contacts between active genes, between Polycomb-repressed genes, between enhancer elements and between enhancers and active genes.Overall design: We used a new method to detect interactions from 490 46C Mouse ES cell derived samples"	PubMed:28273065	SRS816600	OTHER	GEO	SRX839853	GSM1582209	Mus musculus													259.0	17128.0	1402.0	3106649.0	61	247223	966	14264175	Illumina HiSeq 2000	SINGLE	other	GENOMIC		ILLUMINA	SRP052060	2017-03-09	88	69	119			0				
SRR1754639	0.936	PRJNA272507	SAMN03282695	Genome Wide Characterization of Genome Organization in Mouse ES cells	"The three-dimensional folding of genomes in the eukaryotic nucleus can influence the expression of genes. We used a new method to determine interactions between different chromatin regions genome-wide. Using a simple statistical model, we determine the subset of those interactions which represent stable contacts. We find an enrichment in contacts between active genes, between Polycomb-repressed genes, between enhancer elements and between enhancers and active genes.Overall design: We used a new method to detect interactions from 490 46C Mouse ES cell derived samples"	PubMed:28273065	SRS816757	OTHER	GEO	SRX840009	GSM1582365	Mus musculus													322.0	5914.0	2016.0	1289325.0	65	174379	960	9217719	Illumina HiSeq 2000	SINGLE	other	GENOMIC		ILLUMINA	SRP052060	2017-03-09	59	69	97			0				
ERR2699812	0.93	PRJEB27640	SAMEA4790996	Comparative metagenomics of controlled and uncontrolled built environments.	Antimicrobial resistance is an increasingly serious threat to global public health, but less is known how microbial control in health care or cleanroom facilities modifies the in-house microbiota and its associated resistome. To understand these human interventions, we compared the microbiota present in abiotic surfaces of clinical settings and other built environments. State-of-the-art metagenomic assembly and binning strategies as well as genome and plasmid reconstructions allowed us to determine that increased confinement and cleaning was associated with a loss of microbial diversity and a shift from Gram-positive (Actinobacteria, Firmicutes) to Gram-negative (Proteobacteria) bacteria as well as within genomes (Acinetobacter). Moreover, the microbiome of highly maintained built environments showed a completely different resistome and present a higher diversity of resistance genes than naturally unrestricted buildings. Our results highlight that the loss of microbial diversity correlates with an increase of resistances and indicate the need of implementing strategies to restore diversity to counteract propagation of resistances in the future.		ERS2610926	WGS	MEDICAL UNIVERISTY OF GRAZ	ERX2714199	SAMEA4790996	indoor metagenome	7.60833	45.07968	geographic location (latitude),geographic location (longitude)	"{""geo_loc_name"":[12.49563,41.90325],""geo_loc_name_country_calc"":[12.49563,41.90325],""INSDC center name"":[-76.62394,39.28884]}"									235.0	8423605.0	59455.0	1194501923.0	84	63489751	3276	4159963133	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	indoor shotgun metagenome	ILLUMINA	ERP109748	2019-02-08	8116	300	18563		['2014-05-27']	2	0.72	0.93	0.51	0.72
SRR23973226	0.927	PRJNA948850	SAMN33921312	Comprehensive profiling of wastewater viromes by genomic sequencing	"Nucleic acids in wastewater provide a rich source of data for detection and surveillance of microbes. We have longitudinally collected 116 RNA samples from a wastewater treatment plant in Berlin/Germany, from March 2021 to July 2022, and 24 DNA samples from May to July 2022. We tracked human astroviruses, enteroviruses, noroviruses and adenoviruses over time to the level of strains or even individual nucleotide variations, showing how detailed human pathogens can be observed using wastewater. For respiratory pathogens, a broad enrichment panel enabled us to detect waves of RSV, influenza, or common cold coronaviruses in high agreement with clinical data. By applying a profile Hidden Markov Model-based search for novel viruses, we identified more than 100 thousand novel transcript assemblies likely not belonging to known virus species, thus substantially expanding our knowledge of virus diversity. Phylogenetic analysis is shown for bunyaviruses and parvoviruses. Finally, we identify Hundreds of novel protein sequences for CRISPR-associated proteins such as Transposase B, a class of small RNA-guided DNA editing enzymes. Taken together, we present a longitudinal and deep investigation into wastewater-derived genomic sequencing data that underlines the value of sewage surveillance for public health, planetary virome research, and biotechnological potential.Overall design: Raw influx from Berlin/Germany wastewater treatment plants was collected over a time period from May 2021 to July 2022, total RNA and (from May 2022 to July 2022) total DNA extracted and subjected to high-throughput sequencing."	PubMed:39002331	SRS17141459	OTHER	RNA BIOLOGY AND POSTTRANSCRIPTIONAL REGULATION, BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY, MAX DELBRÜCK CENTER FOR MOLECULAR MEDICINE	SRX19777691	GSM7117191	wastewater metagenome	13.37691	52.51604	geo_loc_name_country_calc	"{""geo_loc_name"": [""13.37691"", ""52.51604""]}"									170.0	1491438.0	15064.0	160926710.0	62	15228436	1412	899381283	Illumina NovaSeq 6000	PAIRED	other	GENOMIC	GSM7117191	ILLUMINA	SRP429361	2023-04-13	1201	208	3899			4	0.8	0.93	0.68	0.8
SRR23973377	0.913	PRJNA948850	SAMN33921318	Comprehensive profiling of wastewater viromes by genomic sequencing	"Nucleic acids in wastewater provide a rich source of data for detection and surveillance of microbes. We have longitudinally collected 116 RNA samples from a wastewater treatment plant in Berlin/Germany, from March 2021 to July 2022, and 24 DNA samples from May to July 2022. We tracked human astroviruses, enteroviruses, noroviruses and adenoviruses over time to the level of strains or even individual nucleotide variations, showing how detailed human pathogens can be observed using wastewater. For respiratory pathogens, a broad enrichment panel enabled us to detect waves of RSV, influenza, or common cold coronaviruses in high agreement with clinical data. By applying a profile Hidden Markov Model-based search for novel viruses, we identified more than 100 thousand novel transcript assemblies likely not belonging to known virus species, thus substantially expanding our knowledge of virus diversity. Phylogenetic analysis is shown for bunyaviruses and parvoviruses. Finally, we identify Hundreds of novel protein sequences for CRISPR-associated proteins such as Transposase B, a class of small RNA-guided DNA editing enzymes. Taken together, we present a longitudinal and deep investigation into wastewater-derived genomic sequencing data that underlines the value of sewage surveillance for public health, planetary virome research, and biotechnological potential.Overall design: Raw influx from Berlin/Germany wastewater treatment plants was collected over a time period from May 2021 to July 2022, total RNA and (from May 2022 to July 2022) total DNA extracted and subjected to high-throughput sequencing."	PubMed:39002331	SRS17141651	OTHER	RNA BIOLOGY AND POSTTRANSCRIPTIONAL REGULATION, BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY, MAX DELBRÜCK CENTER FOR MOLECULAR MEDICINE	SRX19777883	GSM7117185	wastewater metagenome	13.37691	52.51604	geo_loc_name_country_calc	"{""geo_loc_name"": [""13.37691"", ""52.51604""]}"									175.0	893227.0	11745.0	104930469.0	69	9892152	1394	609557636	Illumina NovaSeq 6000	PAIRED	other	GENOMIC	GSM7117185	ILLUMINA	SRP429361	2023-04-13	796	209	2604			4	0.8	0.93	0.68	0.8
